Client_no,Days_from_purchase,Brand,Buyer_age,Gender,Rating
321,6,Electrolux,39.0,M,4.5
322,6,Electrolux,48.0,M,2.5
445,6,Beko,41.0,M,2.0
327,6,Dyson,,M,1.0
447,6,Electrolux,27.0,M,5.0
235,6,Tefal,46.0,M,1.5
279,6,Electrolux,51.0,K,0.5
230,6,Dyson,44.0,M,2.5
409,6,Electrolux,31.0,M,5.0
224,6,Beko,47.0,bd.,2.5
188,6,Beko,32.0,M,4.5
194,6,Samsung,41.0,M,2.5
101,6,Electrolux,39.0,M,1.5
511,6,Electrolux,29.0,M,2.5
488,6,Dyson,42.0,M,0.5
520,6,Beko,47.0,M,2.5
487,6,Electrolux,33.0,M,2.0
44,6,Electrolux,43.0,M,0.5
86,6,Electrolux,52.0,M,2.0
515,6,Dyson,39.0,M,2.5
83,6,Beko,52.0,M,1.5
87,6,Tefal,45.0,M,1.0
473,6,Tefal,39.0,K,1.5
514,6,Electrolux,20.0,M,1.5
80,6,Dyson,45.0,K,1.5
478,6,Beko,21.0,M,2.5
57,6,Samsung,40.0,M,3.5
77,6,Dyson,43.0,M,2.0
148,6,Beko,46.0,M,2.5
141,6,Beko,45.0,M,3.0
63,6,Electrolux,48.0,M,3.0
82,6,Tefal,28.0,M,2.0
522,6,Dyson,41.0,M,3.0
165,6,Beko,20.0,M,2.5
74,6,Tefal,37.0,K,2.0
32,6,Electrolux,26.0,M,2.0
31,6,Tefal,33.0,M,2.5
112,6,Electrolux,,M,2.0
172,6,Dyson,46.0,M,2.0
109,6,Electrolux,30.0,M,3.0
468,6,Beko,23.0,M,2.5
531,6,Beko,43.0,M,2.5
118,6,Beko,39.0,K,3.0
127,6,Electrolux,39.0,M,0.5
311,7,Electrolux,42.0,M,3.0
273,7,Beko,48.0,M,3.5
75,7,Tefal,40.0,M,2.0
506,7,Electrolux,24.0,M,2.5
108,7,Beko,51.0,M,3.5
280,7,Electrolux,39.0,M,5.0
90,7,Beko,42.0,M,3.0
284,7,Electrolux,42.0,K,1.5
287,7,Beko,50.0,M,4.0
99,7,Dyson,43.0,M,3.0
498,7,Beko,48.0,bd.,4.5
501,7,Beko,35.0,M,2.0
91,7,Electrolux,52.0,M,3.5
301,7,Samsung,59.0,K,3.0
299,7,Electrolux,37.0,M,1.0
297,7,Beko,37.0,M,3.0
296,7,Tefal,,M,1.5
305,7,Dyson,47.0,M,1.5
285,7,Electrolux,,K,2.5
324,7,Electrolux,,M,1.5
67,7,Beko,,M,1.5
524,7,Samsung,27.0,K,1.0
360,7,Samsung,43.0,M,3.5
29,7,Electrolux,22.0,K,1.5
27,7,Dyson,41.0,M,2.0
22,7,Electrolux,38.0,M,1.5
17,7,Electrolux,45.0,M,4.5
523,7,Tefal,,K,2.0
372,7,Electrolux,,M,2.0
393,7,Beko,32.0,M,1.5
7,7,Dyson,51.0,M,3.0
382,7,Samsung,58.0,M,1.0
384,7,Electrolux,54.0,M,4.5
385,7,Beko,42.0,bd.,2.5
1,7,Electrolux,57.0,M,3.0
374,7,Electrolux,50.0,M,3.0
313,7,Beko,46.0,M,3.0
39,7,Beko,34.0,M,1.5
40,7,Electrolux,33.0,M,3.5
64,7,Tefal,38.0,K,3.5
62,7,Electrolux,36.0,M,4.5
513,7,Dyson,40.0,M,4.5
493,7,Dyson,37.0,M,4.0
56,7,Beko,20.0,M,1.5
54,7,Electrolux,47.0,M,1.5
401,7,Dyson,40.0,M,3.5
332,7,Electrolux,34.0,M,3.5
407,7,Beko,41.0,M,3.0
48,7,Beko,38.0,M,0.5
344,7,Electrolux,25.0,M,2.5
346,7,Beko,36.0,M,1.5
347,7,Beko,,K,1.5
350,7,Electrolux,49.0,M,1.5
408,7,Electrolux,,M,1.0
271,7,Beko,56.0,M,5.0
388,7,Electrolux,43.0,M,3.5
269,7,Dyson,45.0,M,2.0
242,7,Beko,37.0,M,1.0
240,7,Samsung,27.0,M,2.0
238,7,Electrolux,39.0,M,1.5
234,7,Tefal,43.0,M,1.5
481,7,Electrolux,21.0,M,2.0
145,7,Electrolux,36.0,M,1.5
451,7,Samsung,55.0,M,2.0
149,7,Beko,28.0,M,2.0
114,7,Electrolux,33.0,M,2.0
221,7,Electrolux,31.0,M,4.0
470,7,Electrolux,39.0,K,3.0
214,7,Tefal,,M,1.0
212,7,Beko,65.0,M,1.5
210,7,Tefal,42.0,M,3.0
166,7,Electrolux,41.0,M,2.0
167,7,Tefal,27.0,M,5.0
169,7,Tefal,30.0,M,3.5
204,7,Beko,49.0,M,2.5
457,7,Dyson,48.0,K,1.0
174,7,Samsung,50.0,bd.,1.5
459,7,Samsung,34.0,K,5.0
465,7,Beko,40.0,M,3.5
176,7,Electrolux,25.0,K,3.0
177,7,Electrolux,52.0,M,0.5
189,7,Electrolux,51.0,M,2.5
460,7,Electrolux,38.0,M,2.0
186,7,Dyson,42.0,M,2.5
139,7,Electrolux,42.0,M,4.5
135,7,Electrolux,53.0,K,2.0
476,7,Electrolux,31.0,M,1.0
489,7,Beko,25.0,M,4.0
436,7,Electrolux,,K,4.0
123,7,Tefal,41.0,M,1.5
251,7,Electrolux,35.0,M,3.0
248,8,Beko,42.0,M,3.0
363,8,Beko,31.0,M,2.5
263,8,Electrolux,43.0,M,2.0
105,8,Dyson,55.0,M,3.0
171,8,Dyson,56.0,K,2.5
469,8,Beko,50.0,M,2.0
282,8,Electrolux,39.0,M,2.0
206,8,Electrolux,39.0,M,3.0
120,8,Electrolux,37.0,K,2.0
261,8,Electrolux,27.0,M,1.0
463,8,Tefal,44.0,M,1.5
348,8,Dyson,38.0,M,2.0
455,8,Electrolux,36.0,M,3.0
485,8,Beko,41.0,M,1.5
23,8,Dyson,53.0,M,3.5
278,8,Beko,29.0,M,1.0
13,8,Beko,39.0,M,3.0
288,8,Electrolux,38.0,K,2.0
461,8,Electrolux,,M,2.0
433,8,Dyson,25.0,M,1.0
267,8,Electrolux,21.0,M,3.0
182,8,Dyson,40.0,bd.,2.5
3,8,Beko,,M,1.5
391,8,Electrolux,36.0,bd.,2.5
179,8,Tefal,,M,1.5
117,8,Electrolux,,M,2.5
377,8,Tefal,47.0,M,4.0
178,8,Electrolux,38.0,M,2.5
110,8,Tefal,39.0,M,1.5
529,8,Samsung,39.0,M,1.5
193,8,Beko,46.0,M,3.5
9,8,Tefal,22.0,K,5.0
12,8,Electrolux,45.0,M,4.0
369,8,Dyson,,M,2.0
376,8,Dyson,32.0,K,3.5
163,8,Beko,52.0,M,4.0
213,8,Dyson,33.0,M,2.0
492,8,Tefal,36.0,M,5.0
125,8,Electrolux,53.0,M,1.5
146,8,Beko,32.0,M,3.0
233,8,Samsung,39.0,M,3.5
417,8,Dyson,40.0,M,2.0
252,8,Electrolux,27.0,M,5.0
509,8,Beko,55.0,bd.,2.0
482,8,Beko,42.0,M,3.0
448,8,Samsung,40.0,M,3.0
142,8,Beko,37.0,M,3.0
425,8,Tefal,41.0,K,2.0
483,8,Samsung,44.0,M,1.5
129,8,Electrolux,39.0,M,3.0
421,8,Dyson,45.0,M,3.5
300,8,Tefal,29.0,M,1.0
136,8,Electrolux,41.0,K,1.5
60,8,Electrolux,20.0,M,2.5
58,8,Beko,,M,2.5
227,8,Samsung,49.0,M,3.0
184,8,Tefal,23.0,M,5.0
49,8,Electrolux,,M,3.5
217,8,Beko,40.0,M,3.0
51,8,Beko,,M,4.0
331,8,Beko,22.0,M,1.5
454,8,Beko,63.0,M,1.5
53,8,Beko,38.0,M,2.0
471,8,Dyson,,M,3.0
429,8,Beko,26.0,M,1.0
410,8,Dyson,53.0,M,3.0
122,8,Samsung,44.0,M,1.0
154,8,Dyson,,M,1.0
438,9,Electrolux,61.0,M,2.5
494,9,Beko,45.0,M,2.5
403,9,Tefal,42.0,M,5.0
530,9,Electrolux,26.0,K,1.5
453,9,Electrolux,47.0,M,3.0
415,9,Electrolux,42.0,K,2.0
443,9,Dyson,41.0,M,2.5
456,9,Electrolux,29.0,M,0.5
413,9,Tefal,26.0,K,3.5
516,9,Electrolux,54.0,M,3.0
412,9,Electrolux,44.0,K,5.0
395,9,Beko,42.0,K,1.5
398,9,Tefal,32.0,M,3.5
496,9,Samsung,31.0,M,2.0
533,9,Electrolux,57.0,K,1.5
81,9,Beko,52.0,M,1.0
107,9,Dyson,21.0,K,2.0
317,9,Electrolux,53.0,M,1.0
316,9,Beko,50.0,M,2.0
131,9,Tefal,33.0,M,1.5
130,9,Electrolux,38.0,M,3.5
211,9,Electrolux,31.0,M,2.5
222,9,Electrolux,52.0,M,2.5
298,9,Samsung,,M,1.0
121,9,Dyson,38.0,M,1.5
78,9,Beko,46.0,M,1.5
79,9,Electrolux,50.0,M,2.0
153,9,Beko,25.0,M,2.5
85,9,Samsung,26.0,bd.,2.0
92,9,Tefal,58.0,M,0.0
260,9,Electrolux,,M,1.5
175,9,Electrolux,33.0,M,4.0
335,9,Dyson,49.0,M,1.5
187,9,Dyson,20.0,M,2.0
337,9,Dyson,51.0,M,3.5
379,9,Samsung,45.0,M,2.0
156,9,Electrolux,44.0,M,5.0
375,9,Electrolux,28.0,M,4.0
373,9,Electrolux,32.0,K,5.0
2,9,Electrolux,,K,4.5
361,9,Samsung,50.0,M,2.5
354,9,Beko,26.0,M,3.0
160,9,Samsung,45.0,M,1.0
352,9,Electrolux,,M,3.5
351,9,Dyson,33.0,M,3.5
355,9,Electrolux,26.0,M,2.0
162,9,Electrolux,34.0,M,2.0
144,9,Electrolux,,M,1.0
173,9,Electrolux,41.0,K,1.5
196,10,Samsung,31.0,M,2.5
111,10,Dyson,55.0,M,1.5
243,10,Beko,49.0,M,0.0
241,10,Dyson,34.0,M,3.5
237,10,Beko,41.0,K,3.5
180,10,Electrolux,39.0,K,2.5
183,10,Electrolux,40.0,M,2.5
484,10,Beko,38.0,M,2.5
134,10,Electrolux,37.0,M,2.0
236,10,Electrolux,30.0,M,3.0
231,10,Beko,49.0,K,2.0
113,10,Beko,,K,2.0
477,10,Beko,58.0,M,4.0
143,10,Electrolux,34.0,M,2.5
225,10,Dyson,47.0,K,2.5
147,10,Beko,37.0,M,3.0
458,10,Dyson,43.0,M,3.0
102,10,Beko,33.0,M,2.5
266,10,Dyson,59.0,M,3.0
440,10,Electrolux,37.0,M,2.5
392,10,Electrolux,52.0,M,2.0
4,10,Beko,35.0,M,2.5
10,10,Electrolux,37.0,M,4.0
26,10,Electrolux,34.0,M,2.0
405,10,Tefal,32.0,M,2.0
33,10,Beko,,M,2.0
411,10,Beko,41.0,M,4.0
519,10,Electrolux,43.0,M,3.5
43,10,Dyson,38.0,M,0.0
318,10,Beko,38.0,M,1.0
255,10,Beko,39.0,M,1.0
50,10,Electrolux,27.0,M,2.0
61,10,Beko,27.0,K,2.0
46,10,Tefal,41.0,M,1.5
304,10,Beko,30.0,M,3.0
257,10,Electrolux,,M,2.0
96,10,Electrolux,45.0,M,2.5
292,10,Electrolux,46.0,M,2.0
306,10,Beko,,M,5.0
69,10,Tefal,53.0,M,1.0
475,10,Electrolux,52.0,K,2.5
65,10,Electrolux,39.0,M,3.5
510,10,Tefal,48.0,M,2.0
41,11,Samsung,43.0,M,1.5
126,11,Dyson,55.0,M,2.0
71,11,Electrolux,35.0,K,5.0
517,11,Beko,50.0,bd.,3.5
525,11,Electrolux,45.0,M,2.0
97,11,Beko,38.0,M,3.0
98,11,Tefal,55.0,K,2.5
512,11,Electrolux,47.0,K,4.5
521,11,Samsung,48.0,M,1.0
380,11,Dyson,39.0,M,4.0
435,11,Beko,50.0,M,2.0
262,11,Dyson,,M,2.0
349,11,Beko,32.0,M,4.0
274,11,Electrolux,36.0,M,1.5
253,11,Electrolux,54.0,M,3.0
229,11,Electrolux,41.0,M,2.5
264,11,Dyson,60.0,M,1.0
308,11,Electrolux,62.0,M,1.5
423,11,Beko,26.0,M,2.0
309,11,Beko,42.0,M,3.0
319,11,Tefal,70.0,M,3.0
323,11,Beko,35.0,M,3.5
340,11,Dyson,62.0,M,2.0
364,11,Tefal,31.0,M,2.5
336,11,Beko,41.0,M,2.5
419,11,Electrolux,39.0,M,1.0
52,12,Electrolux,47.0,M,1.5
426,12,Beko,44.0,M,1.5
294,12,Dyson,42.0,K,2.5
293,12,Samsung,39.0,K,2.5
291,12,Tefal,,M,1.5
474,12,Electrolux,,M,4.0
334,12,Dyson,,M,2.5
268,12,Electrolux,42.0,M,2.0
157,12,Samsung,53.0,M,2.0
202,12,Electrolux,37.0,M,2.5
151,12,Beko,27.0,M,4.0
442,12,Electrolux,31.0,K,2.5
247,12,Tefal,45.0,M,3.5
467,12,Tefal,45.0,M,4.5
491,12,Electrolux,43.0,M,2.5
124,12,Tefal,29.0,M,4.0
226,12,Electrolux,36.0,K,2.5
356,12,Electrolux,45.0,M,2.0
480,13,Beko,32.0,M,1.0
140,13,Tefal,43.0,K,2.0
462,13,Tefal,,M,3.0
400,13,Tefal,34.0,K,1.0
89,13,Electrolux,42.0,M,3.0
434,13,Beko,53.0,M,3.5
303,13,Electrolux,32.0,M,2.5
450,13,Electrolux,49.0,M,1.0
283,13,Electrolux,,M,4.0
38,13,Electrolux,40.0,M,1.0
133,13,Electrolux,,M,2.0
14,14,Tefal,41.0,M,3.0
406,14,Dyson,46.0,M,1.5
505,14,Tefal,44.0,K,2.5
497,14,Dyson,45.0,M,0.0
387,14,Samsung,46.0,M,2.0
466,14,Electrolux,,M,2.0
170,14,Beko,31.0,M,1.5
35,14,Samsung,,M,2.0
185,14,Beko,47.0,M,3.0
325,15,Beko,21.0,K,3.5
199,15,Electrolux,44.0,K,1.5
8,15,Electrolux,50.0,M,3.0
